Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
29.08.2023;118.404;118.051;118.493;117.400;9,63M;1,10%
28.08.2023;117.121;115.838;117.253;115.836;9,60M;1,11%
25.08.2023;115.837;117.025;117.252;115.397;9,21M;-1,02%
24.08.2023;117.026;118.135;118.136;116.848;9,20M;-0,94%
23.08.2023;118.135;116.160;118.135;116.159;11,54M;1,70%
22.08.2023;116.156;114.433;116.286;114.433;9,83M;1,51%
21.08.2023;114.429;115.404;115.425;114.067;9,79M;-0,85%
18.08.2023;115.409;114.973;115.729;114.423;10,60M;0,37%
17.08.2023;114.982;115.592;116.610;114.859;12,75M;-0,53%
16.08.2023;115.592;116.171;117.338;115.534;18,86M;-0,50%
15.08.2023;116.171;116.809;117.697;116.033;14,64M;-0,55%
14.08.2023;116.810;118.067;118.082;116.530;11,20M;-1,06%
11.08.2023;118.065;118.350;119.054;117.415;11,87M;-0,24%
10.08.2023;118.350;118.412;119.438;118.113;12,69M;-0,05%
09.08.2023;118.409;119.090;119.090;117.901;11,25M;-0,57%
08.08.2023;119.090;119.378;119.553;117.492;10,25M;-0,24%
07.08.2023;119.380;119.509;120.104;118.894;8,73M;-0,11%
04.08.2023;119.508;120.586;121.442;119.215;15,07M;-0,89%
03.08.2023;120.586;120.859;122.619;120.365;13,03M;-0,23%
02.08.2023;120.859;121.249;121.252;119.798;10,57M;-0,32%
01.08.2023;121.248;121.945;121.945;120.154;10,30M;-0,57%
31.07.2023;121.943;120.188;122.149;120.188;10,12M;1,46%
